국적별,2017년09월,2017년10월,2017년11월,2017년12월,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,계
영  국,"10,171","11,622","8,850","7,843","9,399","10,334","12,257","13,363","10,803","10,586","10,683","11,132","10,753","13,813","10,067","7,787","10,148","7,876","12,813","16,707","11,522","11,155","10,826","13,116","13,325","15,911","11,542","8,735","9,117","5,566","1,173",298,374,433,632,619,470,522,661,554,407,485,344,283,345,628,937,"1,447",841,"1,109","1,259",889,"1,018","1,064",995,"2,145","3,103","3,495","4,442","5,675","5,220","6,615","5,451","5,583","5,798","5,105","10,796","409,037"
프랑스,"7,642","9,038","7,157","5,619","5,891","7,277","7,102","10,174","9,390","7,716","9,585","10,722","7,944","10,813","7,668","5,814","5,574","5,830","7,469","11,616","10,395","8,559","10,716","12,984","10,242","12,546","8,111","6,752","5,982","5,120","1,217",280,157,332,671,"1,799",949,"1,008",958,898,"1,109","1,811","1,013",795,"1,033",808,"1,037","1,884","1,638","1,600","1,736","1,236","1,585","2,832","1,692","3,307","4,199","4,191","5,947","8,885","7,218","9,539","7,136","6,088","4,865","6,623","9,474","358,998"
네덜란드,"2,900","3,038","2,824","2,189","2,329","3,914","2,664","3,302","3,084","2,594","3,569","3,388","3,156","3,717","3,107","2,310","2,269","2,357","2,898","4,089","3,348","2,900","4,141","3,961","3,485","4,043","3,188","2,459","2,556","2,067",597,385,693,686,745,772,875,"1,044",986,"1,115","1,156",853,"1,161","1,237","1,243","1,148","1,043","1,275","1,075","1,167","1,140",936,926,"1,162",979,"1,711","1,986","2,011","2,854","2,895","2,761","3,243","2,722","2,401","2,140","2,877","3,934","147,780"
우크라이나,"2,006","2,283","1,983","2,192","1,629","1,984","2,261","2,261","2,252","1,928","2,115","2,189","2,123","2,645","2,374","1,847","2,262","2,080","2,368","2,574","2,397","1,941","2,230","2,904","2,214","2,371","2,146","2,180","1,955","1,618",630,116,431,862,"1,160","1,000",879,812,"1,103","1,002",993,"1,207","1,329","1,206","1,136","1,137","1,107","1,259","1,167","1,261","1,308","1,096","1,032","1,096","1,013","1,000","1,046","1,096","1,226","1,189","1,072","1,331","1,143","1,061",886,744,"1,174","103,622"
이탈리아,"3,307","3,706","3,944","2,288","2,761","3,200","3,545","4,147","4,479","3,959","3,819","4,277","4,482","4,934","4,340","2,603","2,731","2,384","3,583","4,381","4,856","4,136","4,388","5,915","4,513","4,951","4,422","3,084","2,880","1,718",248,55,179,225,136,229,146,231,247,161,186,303,182,218,238,243,246,522,394,572,701,286,409,571,484,840,"1,312","1,339","1,581","2,318","2,043","2,875","2,648","1,718","1,815","1,880","3,837","145,351"
불가리아,630,613,485,410,366,374,494,587,633,520,512,600,585,584,466,358,431,326,455,742,639,448,543,751,633,655,471,442,351,218,80,43,44,49,107,149,112,99,210,189,138,151,222,120,94,138,146,176,171,147,174,156,217,159,234,202,251,285,402,345,304,329,218,230,162,149,358,"22,082"
스웨덴,"1,589","1,844","1,485","1,046",942,"1,901","1,696","1,860","1,578","2,030","1,573","1,361","1,523","2,287","1,546","1,206",982,927,"1,458","2,188","1,655","2,079","1,727","1,490","2,010","2,303","1,600","1,290",847,650,188,35,27,39,33,123,66,65,76,39,76,118,56,59,67,91,87,279,158,196,207,131,185,215,138,364,526,785,585,843,783,"1,242","1,006",783,693,686,"1,362","59,085"
폴란드,"1,917","1,837","1,820","1,417","1,504","1,683","1,749","2,102","1,870","1,699","1,894","1,958","2,168","2,139","1,913","1,292","1,324","1,266","1,960","2,301","2,259","2,201","1,954","2,326","2,570","2,326","2,019","1,407","1,558","1,206",322,83,140,212,319,394,365,306,351,307,336,269,316,272,298,299,327,432,357,428,487,293,382,510,390,622,853,"1,001",946,"1,174","1,504","1,705","1,490","1,155","1,052","1,185","2,084","78,605"
덴마크,"1,090","1,329",979,599,699,802,"1,161","1,169","1,017",876,"1,209","1,002","1,045","1,483",909,672,751,694,"1,001","1,387","1,181",939,"1,507","1,045","1,244","1,802","1,120",782,665,640,114,27,39,57,95,141,60,62,80,79,107,83,56,68,54,98,105,256,103,180,179,107,143,188,107,399,461,453,613,758,704,"1,044",770,498,506,480,"1,312","41,385"
그리스,825,892,701,807,712,752,899,857,770,790,702,686,793,902,774,653,775,607,803,798,749,765,799,778,"1,023","1,014",891,754,623,663,199,76,165,207,151,264,188,197,136,169,206,190,301,235,244,234,233,274,293,400,277,430,386,303,417,289,420,405,599,589,450,584,562,582,485,445,670,"35,812"
